Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,RFFN_std,RFFP_std,SPFN_std,SPFP_std
1,10,magus,ft,0.1094,0.1116,0.1379,0.1254,501.0000,0.0305,0.0308,0.0367,0.0386
2,10,magus,ft,0.0709,0.0732,0.1376,0.1219,692.5000,0.0208,0.0210,0.0316,0.0312
3,10,magus,ft,0.0696,0.0719,0.1327,0.1222,883.5000,0.0182,0.0184,0.0326,0.0306
4,10,magus,ft,0.0704,0.0727,0.1352,0.1247,1075.5000,0.0159,0.0161,0.0312,0.0305
1,10,magus,ftnoml,0.1094,0.1116,0.1379,0.1254,501.0000,0.0305,0.0308,0.0367,0.0386
2,10,magus,ftnoml,0.1001,0.1024,0.1414,0.1259,604.5000,0.0192,0.0194,0.0374,0.0357
3,10,magus,ftnoml,0.0967,0.0990,0.1338,0.1206,708.5000,0.0157,0.0159,0.0403,0.0366
4,10,magus,ftnoml,0.0963,0.0986,0.1356,0.1251,812.0000,0.0145,0.0147,0.0375,0.0373
1,10,clustalo,ft,0.3024,0.3042,0.3914,0.3526,450.5000,0.0282,0.0283,0.0948,0.0902
2,10,clustalo,ft,0.1666,0.1687,0.2286,0.2063,757.5000,0.0370,0.0373,0.0676,0.0648
3,10,clustalo,ft,0.1199,0.1221,0.1903,0.1701,990.0000,0.0283,0.0286,0.0661,0.0589
4,10,clustalo,ft,0.1035,0.1057,0.1601,0.1460,1203.5000,0.0234,0.0236,0.0442,0.0409
1,10,clustalo,ftnoml,0.3024,0.3042,0.3914,0.3526,450.5000,0.0282,0.0283,0.0948,0.0902
2,10,clustalo,ftnoml,0.1828,0.1848,0.2248,0.2039,615.0000,0.0339,0.0341,0.0671,0.0624
3,10,clustalo,ftnoml,0.1382,0.1404,0.1905,0.1694,735.0000,0.0209,0.0212,0.0472,0.0482
4,10,clustalo,ftnoml,0.1258,0.1280,0.1682,0.1519,849.0000,0.0219,0.0221,0.0414,0.0387
1,25,magus,ft,0.1094,0.1116,0.1354,0.1226,494.5000,0.0305,0.0308,0.0321,0.0334
2,25,magus,ft,0.0706,0.0729,0.1354,0.1234,687.0000,0.0188,0.0190,0.0405,0.0385
3,25,magus,ft,0.0711,0.0734,0.1346,0.1238,879.5000,0.0187,0.0190,0.0390,0.0357
4,25,magus,ft,0.0695,0.0718,0.1384,0.1277,1070.0000,0.0183,0.0186,0.0410,0.0384
1,25,magus,ftnoml,0.1094,0.1116,0.1354,0.1226,494.5000,0.0305,0.0308,0.0321,0.0334
2,25,magus,ftnoml,0.0989,0.1011,0.1418,0.1283,598.5000,0.0181,0.0183,0.0426,0.0395
3,25,magus,ftnoml,0.0972,0.0995,0.1376,0.1244,703.0000,0.0175,0.0177,0.0380,0.0342
4,25,magus,ftnoml,0.0967,0.0990,0.1373,0.1246,806.5000,0.0164,0.0167,0.0363,0.0365
1,25,clustalo,ft,0.3024,0.3042,0.3916,0.3499,451.7500,0.0282,0.0283,0.0963,0.0933
2,25,clustalo,ft,0.1684,0.1704,0.2274,0.2088,766.7500,0.0410,0.0412,0.0709,0.0655
3,25,clustalo,ft,0.1201,0.1222,0.2046,0.1793,991.7500,0.0317,0.0320,0.0607,0.0481
4,25,clustalo,ft,0.1085,0.1107,0.1882,0.1672,1210.7500,0.0255,0.0257,0.0508,0.0456
1,25,clustalo,ftnoml,0.3024,0.3042,0.3916,0.3499,451.7500,0.0282,0.0283,0.0963,0.0933
2,25,clustalo,ftnoml,0.1840,0.1861,0.2264,0.1989,617.7500,0.0339,0.0341,0.0800,0.0718
3,25,clustalo,ftnoml,0.1384,0.1405,0.1994,0.1776,742.2500,0.0321,0.0323,0.0699,0.0634
4,25,clustalo,ftnoml,0.1261,0.1283,0.1821,0.1668,860.2500,0.0323,0.0325,0.0666,0.0585
1,50,magus,ft,0.1094,0.1116,0.1385,0.1232,505.5000,0.0305,0.0308,0.0342,0.0355
2,50,magus,ft,0.0714,0.0737,0.1439,0.1286,698.0000,0.0198,0.0201,0.0447,0.0388
3,50,magus,ft,0.0714,0.0737,0.1399,0.1241,891.5000,0.0180,0.0183,0.0347,0.0355
4,50,magus,ft,0.0692,0.0716,0.1323,0.1197,1083.5000,0.0170,0.0172,0.0269,0.0284
1,50,magus,ftnoml,0.1094,0.1116,0.1385,0.1232,505.5000,0.0305,0.0308,0.0342,0.0355
2,50,magus,ftnoml,0.1006,0.1029,0.1336,0.1238,610.0000,0.0200,0.0202,0.0450,0.0413
3,50,magus,ftnoml,0.0977,0.1000,0.1406,0.1257,713.5000,0.0161,0.0164,0.0455,0.0415
4,50,magus,ftnoml,0.0971,0.0993,0.1368,0.1219,817.0000,0.0165,0.0167,0.0393,0.0355
1,50,clustalo,ft,0.3024,0.3042,0.3887,0.3516,436.2500,0.0282,0.0283,0.0937,0.0897
2,50,clustalo,ft,0.1660,0.1680,0.2340,0.2053,739.7500,0.0415,0.0418,0.0928,0.0804
3,50,clustalo,ft,0.1152,0.1174,0.1896,0.1670,976.7500,0.0359,0.0362,0.0672,0.0639
4,50,clustalo,ft,0.0990,0.1012,0.1669,0.1513,1189.2500,0.0294,0.0296,0.0499,0.0462
1,50,clustalo,ftnoml,0.3024,0.3042,0.3887,0.3516,436.2500,0.0282,0.0283,0.0937,0.0897
2,50,clustalo,ftnoml,0.1808,0.1828,0.2328,0.2039,598.2500,0.0368,0.0370,0.0963,0.0825
3,50,clustalo,ftnoml,0.1416,0.1438,0.2187,0.1940,726.7500,0.0314,0.0317,0.0836,0.0746
4,50,clustalo,ftnoml,0.1323,0.1345,0.1953,0.1743,846.7500,0.0267,0.0269,0.0711,0.0618
1,100,magus,ft,0.1094,0.1116,0.1261,0.1181,489.7500,0.0305,0.0308,0.0311,0.0310
2,100,magus,ft,0.0716,0.0739,0.1289,0.1182,668.7500,0.0206,0.0209,0.0375,0.0372
3,100,magus,ft,0.0682,0.0706,0.1297,0.1198,847.2500,0.0208,0.0211,0.0413,0.0376
4,100,magus,ft,0.0685,0.0708,0.1222,0.1111,1022.7500,0.0191,0.0194,0.0291,0.0288
