Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
1,10,magus,ft,0.0771,0.0776,0.1100,0.0960,466,0
1,10,magus,ft,0.0813,0.0841,0.1329,0.1212,466,1
1,10,magus,ft,0.1028,0.1046,0.1498,0.1356,500,2
1,10,magus,ft,0.0817,0.0836,0.0845,0.0673,522,3
1,10,magus,ft,0.1933,0.1957,0.2117,0.1975,422,4
1,10,magus,ft,0.0612,0.0631,0.1192,0.1102,625,5
1,10,magus,ft,0.0928,0.0946,0.1330,0.1178,517,6
1,10,magus,ft,0.0963,0.0986,0.1229,0.1080,467,7
1,10,magus,ft,0.0863,0.0886,0.1770,0.1515,545,8
1,10,magus,ft,0.1268,0.1281,0.1680,0.1404,512,9
2,10,magus,ft,0.0536,0.0541,0.1110,0.0935,767,0
2,10,magus,ft,0.0567,0.0596,0.1298,0.1167,654,1
2,10,magus,ft,0.0732,0.0751,0.1326,0.1242,676,2
2,10,magus,ft,0.0577,0.0596,0.0683,0.0575,720,3
2,10,magus,ft,0.1160,0.1186,0.1750,0.1595,596,4
2,10,magus,ft,0.0471,0.0490,0.1201,0.1130,853,5
2,10,magus,ft,0.0627,0.0646,0.1355,0.1191,703,6
2,10,magus,ft,0.0687,0.0711,0.1085,0.1005,659,7
2,10,magus,ft,0.0667,0.0691,0.1534,0.1352,745,8
2,10,magus,ft,0.0762,0.0776,0.1441,0.1335,704,9
3,10,magus,ft,0.0551,0.0556,0.1057,0.0983,955,0
3,10,magus,ft,0.0597,0.0626,0.1376,0.1263,842,1
3,10,magus,ft,0.0702,0.0721,0.1272,0.1188,848,2
3,10,magus,ft,0.0517,0.0536,0.0807,0.0726,912,3
3,10,magus,ft,0.1064,0.1091,0.1738,0.1650,770,4
3,10,magus,ft,0.0481,0.0501,0.1191,0.1105,1071,5
3,10,magus,ft,0.0577,0.0596,0.1266,0.1167,885,6
3,10,magus,ft,0.0662,0.0686,0.1187,0.1076,857,7
3,10,magus,ft,0.0607,0.0631,0.1558,0.1347,935,8
3,10,magus,ft,0.0702,0.0716,0.1423,0.1286,890,9
4,10,magus,ft,0.0526,0.0531,0.1137,0.1021,1141,0
4,10,magus,ft,0.0572,0.0601,0.1423,0.1276,1030,1
4,10,magus,ft,0.0592,0.0611,0.1391,0.1252,1024,2
4,10,magus,ft,0.0542,0.0561,0.0794,0.0679,1106,3
4,10,magus,ft,0.1059,0.1086,0.1784,0.1673,942,4
4,10,magus,ft,0.0481,0.0501,0.1310,0.1122,1283,5
4,10,magus,ft,0.0582,0.0601,0.1364,0.1263,1069,6
4,10,magus,ft,0.0642,0.0666,0.1041,0.0961,1051,7
