Dataset,Replicate,Method,Iteration,SPFN,SPFP
16S.3,R0,clustalo,-1,0.3179,0.3209
16S.3,R0,mafft,-1,0.1988,0.1941
16S.3,R0,magus_clustalo-iter1,1,0.0715,0.1268
16S.3,R0,magus_clustalo-iter2,2,0.0755,0.1292
16S.3,R0,magus_clustalo-iter3,3,0.0727,0.1327
16S.3,R0,magus_clustalo-iter4,4,0.0736,0.1327
16S.3,R0,magus_default-iter1,1,0.0746,0.1325
16S.3,R0,magus_magus-iter1,1,0.0740,0.1313
16S.3,R0,magus_magus-iter2,2,0.0769,0.1296
16S.3,R0,magus_magus-iter3,3,0.0768,0.1305
16S.3,R0,magus_magus-iter4,4,0.0728,0.1323
16S.3,R0,muscle,-1,0.0680,0.1403
16S.3,R0,pasta-iter3,-1,0.0708,0.1414
16S.B.ALL,R0,clustalo,-1,0.4890,0.3586
16S.B.ALL,R0,mafft,-1,0.1628,0.0921
16S.B.ALL,R0,magus_clustalo-iter1,1,0.0433,0.0435
16S.B.ALL,R0,magus_clustalo-iter2,2,0.0413,0.0423
16S.B.ALL,R0,magus_clustalo-iter3,3,0.0417,0.0414
16S.B.ALL,R0,magus_clustalo-iter4,4,0.0419,0.0427
16S.B.ALL,R0,magus_default-iter1,1,0.0419,0.0395
16S.B.ALL,R0,magus_magus-iter1,1,0.0417,0.0424
16S.B.ALL,R0,magus_magus-iter2,2,0.0423,0.0415
16S.B.ALL,R0,magus_magus-iter3,3,0.0431,0.0453
16S.B.ALL,R0,magus_magus-iter4,4,0.0428,0.0414
16S.B.ALL,R0,pasta-iter3,-1,0.0488,0.0472
16S.M,R0,clustalo,-1,0.2724,0.2758
16S.M,R0,mafft,-1,0.1626,0.1411
16S.M,R0,magus_clustalo-iter1,1,0.1196,0.1338
16S.M,R0,magus_clustalo-iter2,2,0.1200,0.1360
16S.M,R0,magus_clustalo-iter3,3,0.1205,0.1358
16S.M,R0,magus_clustalo-iter4,4,0.1216,0.1371
16S.M,R0,magus_default-iter1,1,0.1264,0.1390
16S.M,R0,magus_magus-iter1,1,0.1215,0.1340
16S.M,R0,magus_magus-iter2,2,0.1211,0.1357
16S.M,R0,magus_magus-iter3,3,0.1210,0.1350
16S.M,R0,magus_magus-iter4,4,0.1205,0.1364
16S.M,R0,muscle,-1,0.1211,0.1418
16S.M,R0,pasta-iter3,-1,0.1244,0.1412
16S.T,R0,clustalo,-1,0.3691,0.3114
16S.T,R0,mafft,-1,0.1994,0.1876
16S.T,R0,magus_clustalo-iter1,1,0.0847,0.1167
16S.T,R0,magus_clustalo-iter2,2,0.0756,0.1245
16S.T,R0,magus_clustalo-iter3,3,0.0787,0.1183
16S.T,R0,magus_clustalo-iter4,4,0.0764,0.1230
16S.T,R0,magus_default-iter1,1,0.0763,0.1243
16S.T,R0,magus_magus-iter1,1,0.0777,0.1277
16S.T,R0,magus_magus-iter2,2,0.0752,0.1262
16S.T,R0,magus_magus-iter3,3,0.0752,0.1200
16S.T,R0,magus_magus-iter4,4,0.0788,0.1252
16S.T,R0,muscle,-1,0.0686,0.1335
16S.T,R0,pasta-iter3,-1,0.0997,0.1565
RNASim-1000,R0,clustalo,-1,0.3049,0.1630
RNASim-1000,R0,mafft,-1,0.2826,0.1572
RNASim-1000,R0,magus_clustalo-iter1,1,0.1018,0.1010
RNASim-1000,R0,magus_clustalo-iter2,2,0.0980,0.0956
RNASim-1000,R0,magus_clustalo-iter3,3,0.0947,0.0937
RNASim-1000,R0,magus_clustalo-iter4,4,0.0925,0.0904
RNASim-1000,R0,magus_default-iter1,1,0.0992,0.0968
RNASim-1000,R0,magus_magus-iter1,1,0.0972,0.0956
RNASim-1000,R0,magus_magus-iter2,2,0.0949,0.0927
RNASim-1000,R0,magus_magus-iter3,3,0.0960,0.0932
RNASim-1000,R0,magus_magus-iter4,4,0.0934,0.0917
RNASim-1000,R0,muscle,-1,0.0912,0.0934
RNASim-1000,R0,pasta-iter3,-1,0.0971,0.0985
RNASim-1000,R1,clustalo,-1,0.2992,0.1617
RNASim-1000,R1,mafft,-1,0.2892,0.1671
RNASim-1000,R1,magus_clustalo-iter1,1,0.0965,0.0950
RNASim-1000,R1,magus_clustalo-iter2,2,0.0923,0.0894
RNASim-1000,R1,magus_clustalo-iter3,3,0.0909,0.0887
RNASim-1000,R1,magus_clustalo-iter4,4,0.0913,0.0885
RNASim-1000,R1,magus_default-iter1,1,0.0937,0.0919
RNASim-1000,R1,magus_magus-iter1,1,0.0943,0.0900
RNASim-1000,R1,magus_magus-iter2,2,0.0902,0.0871
RNASim-1000,R1,magus_magus-iter3,3,0.0928,0.0895
RNASim-1000,R1,magus_magus-iter4,4,0.0923,0.0880
RNASim-1000,R1,muscle,-1,0.0838,0.0862
RNASim-1000,R1,pasta-iter3,-1,0.0881,0.0890
RNASim-1000,R2,clustalo,-1,0.3105,0.1693
RNASim-1000,R2,mafft,-1,0.2876,0.1662
RNASim-1000,R2,magus_clustalo-iter1,1,0.1009,0.0999
RNASim-1000,R2,magus_clustalo-iter2,2,0.1001,0.0986
RNASim-1000,R2,magus_clustalo-iter3,3,0.1000,0.0983
RNASim-1000,R2,magus_clustalo-iter4,4,0.0993,0.0951
RNASim-1000,R2,magus_default-iter1,1,0.1016,0.0980
RNASim-1000,R2,magus_magus-iter1,1,0.0982,0.0955
RNASim-1000,R2,magus_magus-iter2,2,0.1021,0.0962
RNASim-1000,R2,magus_magus-iter3,3,0.0947,0.0947
RNASim-1000,R2,magus_magus-iter4,4,0.0992,0.0972
RNASim-1000,R2,muscle,-1,0.0896,0.0919
RNASim-1000,R2,pasta-iter3,-1,0.0950,0.0959
RNASim-1000,R3,clustalo,-1,0.2920,0.1583
RNASim-1000,R3,mafft,-1,0.2923,0.1640
RNASim-1000,R3,magus_clustalo-iter1,1,0.1056,0.1037
RNASim-1000,R3,magus_clustalo-iter2,2,0.1015,0.0990
RNASim-1000,R3,magus_clustalo-iter3,3,0.1014,0.0999
RNASim-1000,R3,magus_clustalo-iter4,4,0.1027,0.1019
RNASim-1000,R3,magus_default-iter1,1,0.1016,0.0995
RNASim-1000,R3,magus_magus-iter1,1,0.1022,0.0994
RNASim-1000,R3,magus_magus-iter2,2,0.1021,0.0992
RNASim-1000,R3,magus_magus-iter3,3,0.1018,0.1004
RNASim-1000,R3,magus_magus-iter4,4,0.0997,0.0966
RNASim-1000,R3,muscle,-1,0.0875,0.0901
RNASim-1000,R3,pasta-iter3,-1,0.1008,0.1014
RNASim-1000,R4,clustalo,-1,0.3151,0.1708
RNASim-1000,R4,mafft,-1,0.2938,0.1721
