Dataset,Replicate,Method,Iteration,Runtime
16S.3,R0,magus_clustalo-iter0initi,0,26.3100
16S.3,R0,magus_clustalo-iter1,1,597.4500
16S.3,R0,magus_clustalo-iter1guide,1,1351.5300
16S.3,R0,magus_clustalo-iter2,2,1957.2900
16S.3,R0,magus_clustalo-iter2guide,2,2715.9200
16S.3,R0,magus_clustalo-iter3,3,3236.9800
16S.3,R0,magus_clustalo-iter3guide,3,3994.2900
16S.3,R0,magus_clustalo-iter4,4,4489.6800
16S.3,R0,magus_default-iter0initi,0,437.2800
16S.3,R0,magus_default-iter1,1,1685.4600
16S.3,R0,magus_magus-iter0initi,0,539.3700
16S.3,R0,magus_magus-iter1,1,1004.6600
16S.3,R0,magus_magus-iter1guide,1,1730.5100
16S.3,R0,magus_magus-iter2,2,2260.7200
16S.3,R0,magus_magus-iter2guide,2,2972.5300
16S.3,R0,magus_magus-iter3,3,3612.0900
16S.3,R0,magus_magus-iter3guide,3,4339.9500
16S.3,R0,magus_magus-iter4,4,4801.6400
16S.B.ALL,R0,magus_clustalo-iter0initi,0,135.0400
16S.B.ALL,R0,magus_clustalo-iter1,1,2323.0400
16S.B.ALL,R0,magus_clustalo-iter1guide,1,11201.6700
16S.B.ALL,R0,magus_clustalo-iter2,2,13186.0400
16S.B.ALL,R0,magus_clustalo-iter2guide,2,21730.3100
16S.B.ALL,R0,magus_clustalo-iter3,3,23895.4100
16S.B.ALL,R0,magus_clustalo-iter3guide,3,32098.7500
16S.B.ALL,R0,magus_clustalo-iter4,4,34067.9300
16S.B.ALL,R0,magus_default-iter0initi,0,1106.5400
16S.B.ALL,R0,magus_default-iter1,1,3486.2700
16S.B.ALL,R0,magus_magus-iter0initi,0,1121.2700
16S.B.ALL,R0,magus_magus-iter1,1,3561.3900
16S.B.ALL,R0,magus_magus-iter1guide,1,11849.0000
16S.B.ALL,R0,magus_magus-iter2,2,13941.0100
16S.B.ALL,R0,magus_magus-iter2guide,2,22306.2700
16S.B.ALL,R0,magus_magus-iter3,3,24502.1900
16S.B.ALL,R0,magus_magus-iter3guide,3,32681.7300
16S.B.ALL,R0,magus_magus-iter4,4,34798.9800
16S.M,R0,magus_clustalo-iter0initi,0,1.4400
16S.M,R0,magus_clustalo-iter1,1,103.8700
16S.M,R0,magus_clustalo-iter1guide,1,124.7900
16S.M,R0,magus_clustalo-iter2,2,236.6400
16S.M,R0,magus_clustalo-iter2guide,2,257.9500
16S.M,R0,magus_clustalo-iter3,3,365.3300
16S.M,R0,magus_clustalo-iter3guide,3,386.3500
16S.M,R0,magus_clustalo-iter4,4,515.7900
16S.M,R0,magus_default-iter0initi,0,154.8400
16S.M,R0,magus_default-iter1,1,258.4500
16S.M,R0,magus_magus-iter0initi,0,165.4200
16S.M,R0,magus_magus-iter1,1,301.3400
16S.M,R0,magus_magus-iter1guide,1,322.7500
16S.M,R0,magus_magus-iter2,2,444.5100
16S.M,R0,magus_magus-iter2guide,2,465.4000
16S.M,R0,magus_magus-iter3,3,576.3400
16S.M,R0,magus_magus-iter3guide,3,597.3100
16S.M,R0,magus_magus-iter4,4,718.9600
16S.T,R0,magus_clustalo-iter0initi,0,27.2400
16S.T,R0,magus_clustalo-iter1,1,934.2200
16S.T,R0,magus_clustalo-iter1guide,1,1945.8800
16S.T,R0,magus_clustalo-iter2,2,2555.2600
16S.T,R0,magus_clustalo-iter2guide,2,3504.8400
16S.T,R0,magus_clustalo-iter3,3,4215.1800
16S.T,R0,magus_clustalo-iter3guide,3,5178.6700
16S.T,R0,magus_clustalo-iter4,4,5881.4200
