Dataset,Replicate,Method,Iteration,Runtime
16S.3,R0,magus_clustalo-iter0initi,0,26.3100
16S.3,R0,magus_clustalo-iter1,1,571.1400
16S.3,R0,magus_clustalo-iter1guide,1,754.0800
16S.3,R0,magus_clustalo-iter2,2,605.7600
16S.3,R0,magus_clustalo-iter2guide,2,758.6300
16S.3,R0,magus_clustalo-iter3,3,521.0600
16S.3,R0,magus_clustalo-iter3guide,3,757.3100
16S.3,R0,magus_clustalo-iter4,4,495.3900
16S.3,R0,magus_default-iter0initi,0,437.2800
16S.3,R0,magus_default-iter1,1,1248.1800
16S.3,R0,magus_magus-iter0initi,0,539.3700
16S.3,R0,magus_magus-iter1,1,465.2900
16S.3,R0,magus_magus-iter1guide,1,725.8500
16S.3,R0,magus_magus-iter2,2,530.2100
16S.3,R0,magus_magus-iter2guide,2,711.8100
16S.3,R0,magus_magus-iter3,3,639.5600
16S.3,R0,magus_magus-iter3guide,3,727.8600
16S.3,R0,magus_magus-iter4,4,461.6900
16S.B.ALL,R0,magus_clustalo-iter0initi,0,135.0400
16S.B.ALL,R0,magus_clustalo-iter1,1,2188.0000
16S.B.ALL,R0,magus_clustalo-iter1guide,1,8878.6300
16S.B.ALL,R0,magus_clustalo-iter2,2,1984.3700
16S.B.ALL,R0,magus_clustalo-iter2guide,2,8544.2700
16S.B.ALL,R0,magus_clustalo-iter3,3,2165.1000
16S.B.ALL,R0,magus_clustalo-iter3guide,3,8203.3400
16S.B.ALL,R0,magus_clustalo-iter4,4,1969.1800
16S.B.ALL,R0,magus_default-iter0initi,0,1106.5400
16S.B.ALL,R0,magus_default-iter1,1,2379.7300
16S.B.ALL,R0,magus_magus-iter0initi,0,1121.2700
16S.B.ALL,R0,magus_magus-iter1,1,2440.1200
16S.B.ALL,R0,magus_magus-iter1guide,1,8287.6100
16S.B.ALL,R0,magus_magus-iter2,2,2092.0100
16S.B.ALL,R0,magus_magus-iter2guide,2,8365.2600
16S.B.ALL,R0,magus_magus-iter3,3,2195.9200
16S.B.ALL,R0,magus_magus-iter3guide,3,8179.5400
16S.B.ALL,R0,magus_magus-iter4,4,2117.2500
16S.M,R0,magus_clustalo-iter0initi,0,1.4400
16S.M,R0,magus_clustalo-iter1,1,102.4300
16S.M,R0,magus_clustalo-iter1guide,1,20.9200
16S.M,R0,magus_clustalo-iter2,2,111.8500
16S.M,R0,magus_clustalo-iter2guide,2,21.3100
16S.M,R0,magus_clustalo-iter3,3,107.3800
16S.M,R0,magus_clustalo-iter3guide,3,21.0200
16S.M,R0,magus_clustalo-iter4,4,129.4400
16S.M,R0,magus_default-iter0initi,0,154.8400
16S.M,R0,magus_default-iter1,1,103.6100
16S.M,R0,magus_magus-iter0initi,0,165.4200
16S.M,R0,magus_magus-iter1,1,135.9200
16S.M,R0,magus_magus-iter1guide,1,21.4100
16S.M,R0,magus_magus-iter2,2,121.7600
16S.M,R0,magus_magus-iter2guide,2,20.8900
16S.M,R0,magus_magus-iter3,3,110.9400
16S.M,R0,magus_magus-iter3guide,3,20.9700
16S.M,R0,magus_magus-iter4,4,121.6500
16S.T,R0,magus_clustalo-iter0initi,0,27.2400
16S.T,R0,magus_clustalo-iter1,1,906.9800
16S.T,R0,magus_clustalo-iter1guide,1,1011.6600
16S.T,R0,magus_clustalo-iter2,2,609.3800
16S.T,R0,magus_clustalo-iter2guide,2,949.5800
16S.T,R0,magus_clustalo-iter3,3,710.3400
16S.T,R0,magus_clustalo-iter3guide,3,963.4900
16S.T,R0,magus_clustalo-iter4,4,702.7500
16S.T,R0,magus_default-iter0initi,0,492.8600
16S.T,R0,magus_default-iter1,1,1612.6100
16S.T,R0,magus_magus-iter0initi,0,518.8200
16S.T,R0,magus_magus-iter1,1,602.7000
16S.T,R0,magus_magus-iter1guide,1,903.0500
16S.T,R0,magus_magus-iter2,2,642.4700
16S.T,R0,magus_magus-iter2guide,2,992.4900
16S.T,R0,magus_magus-iter3,3,671.8600
16S.T,R0,magus_magus-iter3guide,3,921.0600
16S.T,R0,magus_magus-iter4,4,617.9000
RNASim-1000,R0,magus_clustalo-iter0initi,0,6.5800
RNASim-1000,R0,magus_clustalo-iter1,1,802.7500
RNASim-1000,R0,magus_clustalo-iter1guide,1,56.6000
RNASim-1000,R0,magus_clustalo-iter2,2,754.8800
RNASim-1000,R0,magus_clustalo-iter2guide,2,56.3400
RNASim-1000,R0,magus_clustalo-iter3,3,867.9500
RNASim-1000,R0,magus_clustalo-iter3guide,3,56.1700
RNASim-1000,R0,magus_default-iter0initi,0,481.7100
RNASim-1000,R0,magus_default-iter1,1,983.0600
RNASim-1000,R0,magus_magus-iter0initi,0,439.1900
RNASim-1000,R0,magus_magus-iter1,1,384.1000
RNASim-1000,R0,magus_magus-iter1guide,1,85.0900
RNASim-1000,R0,magus_magus-iter2,2,366.6300
RNASim-1000,R0,magus_magus-iter2guide,2,82.7200
RNASim-1000,R0,magus_magus-iter3,3,387.1200
RNASim-1000,R0,magus_magus-iter3guide,3,83.8900
RNASim-1000,R0,magus_magus-iter4,4,364.0900
RNASim-1000,R1,magus_clustalo-iter0initi,0,7.5300
RNASim-1000,R1,magus_clustalo-iter1,1,807.0800
RNASim-1000,R1,magus_clustalo-iter1guide,1,57.8300
RNASim-1000,R1,magus_clustalo-iter2,2,786.6600
RNASim-1000,R1,magus_clustalo-iter2guide,2,58.4500
RNASim-1000,R1,magus_clustalo-iter3,3,785.9600
RNASim-1000,R1,magus_clustalo-iter3guide,3,57.6700
RNASim-1000,R1,magus_default-iter0initi,0,552.0100
RNASim-1000,R1,magus_default-iter1,1,985.3100
RNASim-1000,R1,magus_magus-iter0initi,0,489.0500
RNASim-1000,R1,magus_magus-iter1,1,385.6100
RNASim-1000,R1,magus_magus-iter1guide,1,81.7900
RNASim-1000,R1,magus_magus-iter2,2,349.0700
RNASim-1000,R1,magus_magus-iter2guide,2,82.2800
RNASim-1000,R1,magus_magus-iter3,3,369.9100
RNASim-1000,R1,magus_magus-iter3guide,3,80.2900
RNASim-1000,R1,magus_magus-iter4,4,361.3900
RNASim-1000,R2,magus_clustalo-iter0initi,0,6.8900
RNASim-1000,R2,magus_clustalo-iter1,1,783.0000
RNASim-1000,R2,magus_clustalo-iter1guide,1,56.0800
RNASim-1000,R2,magus_clustalo-iter2,2,787.8400
RNASim-1000,R2,magus_clustalo-iter2guide,2,54.6500
RNASim-1000,R2,magus_clustalo-iter3,3,830.0400
RNASim-1000,R2,magus_clustalo-iter3guide,3,56.0300
RNASim-1000,R2,magus_clustalo-iter4,4,774.7800
RNASim-1000,R2,magus_default-iter0initi,0,542.0300
RNASim-1000,R2,magus_default-iter1,1,1056.3700
RNASim-1000,R2,magus_magus-iter0initi,0,465.8000
RNASim-1000,R2,magus_magus-iter1,1,370.0600
RNASim-1000,R2,magus_magus-iter1guide,1,83.6900
RNASim-1000,R2,magus_magus-iter2,2,366.5000
RNASim-1000,R2,magus_magus-iter2guide,2,86.3000
RNASim-1000,R2,magus_magus-iter3,3,417.1800
RNASim-1000,R2,magus_magus-iter3guide,3,82.2900
RNASim-1000,R2,magus_magus-iter4,4,391.4000
RNASim-1000,R3,magus_clustalo-iter0initi,0,8.8400
RNASim-1000,R3,magus_clustalo-iter1,1,1096.5500
RNASim-1000,R3,magus_clustalo-iter1guide,1,83.2300
RNASim-1000,R3,magus_clustalo-iter2,2,1155.6500
RNASim-1000,R3,magus_clustalo-iter2guide,2,80.2200
RNASim-1000,R3,magus_clustalo-iter3,3,1066.0100
RNASim-1000,R3,magus_clustalo-iter3guide,3,80.8000
RNASim-1000,R3,magus_clustalo-iter4,4,1123.8500
RNASim-1000,R3,magus_default-iter0initi,0,470.7500
RNASim-1000,R3,magus_default-iter1,1,1229.1000
RNASim-1000,R3,magus_magus-iter0initi,0,511.0300
RNASim-1000,R3,magus_magus-iter1,1,405.5800
RNASim-1000,R3,magus_magus-iter1guide,1,82.0100
