dataset,replicate,method,iteration,runtime
16S.3,R0,clustalo,-1,2049.6700
16S.3,R0,mafft,-1,21.9300
16S.3,R0,magus_clustalo-iter0,0,48.2400
16S.3,R0,magus_clustalo-iter1,1,1373.4600
16S.3,R0,magus_clustalo-iter2,2,2737.8500
16S.3,R0,magus_clustalo-iter3,3,4016.2200
16S.3,R0,magus_clustalo-iter4,4,4511.6100
16S.3,R0,magus_default-iter0,0,932.6700
16S.3,R0,magus_default-iter1,1,3429.0300
16S.3,R0,magus_magus-iter0,0,3035.7300
16S.3,R0,magus_magus-iter1,1,4226.8700
16S.3,R0,magus_magus-iter2,2,5468.8900
16S.3,R0,magus_magus-iter3,3,6836.3100
16S.3,R0,magus_magus-iter4,4,7298.0000
16S.3,R0,muscle,-1,21650.2100
16S.3,R0,pasta-iter3,3,3753.6000
16S.B.ALL,R0,clustalo,-1,6437.9500
16S.B.ALL,R0,mafft,-1,423.1000
16S.B.ALL,R0,magus_clustalo-iter0,0,558.1400
16S.B.ALL,R0,magus_clustalo-iter1,1,11624.7700
16S.B.ALL,R0,magus_clustalo-iter2,2,22153.4100
16S.B.ALL,R0,magus_clustalo-iter3,3,32521.8500
16S.B.ALL,R0,magus_clustalo-iter4,4,34491.0300
16S.B.ALL,R0,magus_default-iter0,0,3075.7200
16S.B.ALL,R0,magus_default-iter1,1,7835.1800
16S.B.ALL,R0,magus_magus-iter0,0,5880.7300
16S.B.ALL,R0,magus_magus-iter1,1,16608.4600
16S.B.ALL,R0,magus_magus-iter2,2,27065.7300
16S.B.ALL,R0,magus_magus-iter3,3,37441.1900
16S.B.ALL,R0,magus_magus-iter4,4,39558.4400
16S.B.ALL,R0,pasta-iter3,3,9898.3100
16S.M,R0,clustalo,-1,512.4100
16S.M,R0,mafft,-1,3.3600
16S.M,R0,magus_clustalo-iter0,0,4.8000
16S.M,R0,magus_clustalo-iter1,1,128.1500
16S.M,R0,magus_clustalo-iter2,2,261.3100
16S.M,R0,magus_clustalo-iter3,3,389.7100
16S.M,R0,magus_clustalo-iter4,4,519.1500
16S.M,R0,magus_default-iter0,0,284.2800
16S.M,R0,magus_default-iter1,1,491.5000
16S.M,R0,magus_magus-iter0,0,372.6400
16S.M,R0,magus_magus-iter1,1,529.9700
16S.M,R0,magus_magus-iter2,2,672.6200
16S.M,R0,magus_magus-iter3,3,804.5300
16S.M,R0,magus_magus-iter4,4,926.1800
16S.M,R0,muscle,-1,1239.5100
16S.M,R0,pasta-iter3,3,1018.2100
16S.T,R0,clustalo,-1,2127.3300
16S.T,R0,mafft,-1,28.6300
16S.T,R0,magus_clustalo-iter0,0,55.8700
16S.T,R0,magus_clustalo-iter1,1,1974.5100
16S.T,R0,magus_clustalo-iter2,2,3533.4700
16S.T,R0,magus_clustalo-iter3,3,5207.3000
16S.T,R0,magus_clustalo-iter4,4,5910.0500
16S.T,R0,magus_default-iter0,0,1195.6100
16S.T,R0,magus_default-iter1,1,4420.8300
16S.T,R0,magus_magus-iter0,0,3744.0400
16S.T,R0,magus_magus-iter1,1,5249.7900
16S.T,R0,magus_magus-iter2,2,6884.7500
16S.T,R0,magus_magus-iter3,3,8477.6700
16S.T,R0,magus_magus-iter4,4,9095.5700
16S.T,R0,muscle,-1,21173.6300
16S.T,R0,pasta-iter3,3,4002.9500
RNASim-1000,R0,clustalo,-1,671.4700
RNASim-1000,R0,mafft,-1,14.6900
RNASim-1000,R0,magus_clustalo-iter0,0,21.2700
RNASim-1000,R0,magus_clustalo-iter1,1,880.6200
RNASim-1000,R0,magus_clustalo-iter2,2,1691.8400
RNASim-1000,R0,magus_clustalo-iter3,3,2615.9600
RNASim-1000,R0,magus_default-iter0,0,1405.8300
RNASim-1000,R0,magus_default-iter1,1,3371.9500
RNASim-1000,R0,magus_magus-iter0,0,2405.3100
RNASim-1000,R0,magus_magus-iter1,1,2874.5000
RNASim-1000,R0,magus_magus-iter2,2,3323.8500
RNASim-1000,R0,magus_magus-iter3,3,3794.8600
RNASim-1000,R0,magus_magus-iter4,4,4158.9500
RNASim-1000,R0,muscle,-1,4091.2000
RNASim-1000,R0,pasta-iter3,3,2699.2700
RNASim-1000,R1,clustalo,-1,516.2400
RNASim-1000,R1,mafft,-1,14.5800
RNASim-1000,R1,magus_clustalo-iter0,0,22.1100
RNASim-1000,R1,magus_clustalo-iter1,1,887.0200
RNASim-1000,R1,magus_clustalo-iter2,2,1732.1300
