dataset,replicate,method,iteration,runtime
16S.3,R0,clustalo,-1,2049.6700
16S.3,R0,mafft,-1,21.9300
16S.3,R0,magus_clustalo-iter0,0,48.2400
16S.3,R0,magus_clustalo-iter1,1,1325.2200
16S.3,R0,magus_clustalo-iter2,2,1364.3900
16S.3,R0,magus_clustalo-iter3,3,1278.3700
16S.3,R0,magus_clustalo-iter4,4,495.3900
16S.3,R0,magus_default-iter0,0,932.6700
16S.3,R0,magus_default-iter1,1,2496.3600
16S.3,R0,magus_magus-iter0,0,3035.7300
16S.3,R0,magus_magus-iter1,1,1191.1400
16S.3,R0,magus_magus-iter2,2,1242.0200
16S.3,R0,magus_magus-iter3,3,1367.4200
16S.3,R0,magus_magus-iter4,4,461.6900
16S.3,R0,muscle,-1,21650.2100
16S.3,R0,pasta-iter3,3,3753.6000
16S.B.ALL,R0,clustalo,-1,6437.9500
16S.B.ALL,R0,mafft,-1,423.1000
16S.B.ALL,R0,magus_clustalo-iter0,0,558.1400
16S.B.ALL,R0,magus_clustalo-iter1,1,11066.6300
16S.B.ALL,R0,magus_clustalo-iter2,2,10528.6400
16S.B.ALL,R0,magus_clustalo-iter3,3,10368.4400
16S.B.ALL,R0,magus_clustalo-iter4,4,1969.1800
16S.B.ALL,R0,magus_default-iter0,0,3075.7200
16S.B.ALL,R0,magus_default-iter1,1,4759.4600
16S.B.ALL,R0,magus_magus-iter0,0,5880.7300
16S.B.ALL,R0,magus_magus-iter1,1,10727.7300
16S.B.ALL,R0,magus_magus-iter2,2,10457.2700
16S.B.ALL,R0,magus_magus-iter3,3,10375.4600
16S.B.ALL,R0,magus_magus-iter4,4,2117.2500
16S.B.ALL,R0,pasta-iter3,3,9898.3100
16S.M,R0,clustalo,-1,512.4100
16S.M,R0,mafft,-1,3.3600
16S.M,R0,magus_clustalo-iter0,0,4.8000
16S.M,R0,magus_clustalo-iter1,1,123.3500
16S.M,R0,magus_clustalo-iter2,2,133.1600
16S.M,R0,magus_clustalo-iter3,3,128.4000
16S.M,R0,magus_clustalo-iter4,4,129.4400
16S.M,R0,magus_default-iter0,0,284.2800
16S.M,R0,magus_default-iter1,1,207.2200
16S.M,R0,magus_magus-iter0,0,372.6400
16S.M,R0,magus_magus-iter1,1,157.3300
16S.M,R0,magus_magus-iter2,2,142.6500
16S.M,R0,magus_magus-iter3,3,131.9100
16S.M,R0,magus_magus-iter4,4,121.6500
16S.M,R0,muscle,-1,1239.5100
16S.M,R0,pasta-iter3,3,1018.2100
16S.T,R0,clustalo,-1,2127.3300
16S.T,R0,mafft,-1,28.6300
16S.T,R0,magus_clustalo-iter0,0,55.8700
16S.T,R0,magus_clustalo-iter1,1,1918.6400
16S.T,R0,magus_clustalo-iter2,2,1558.9600
16S.T,R0,magus_clustalo-iter3,3,1673.8300
16S.T,R0,magus_clustalo-iter4,4,702.7500
16S.T,R0,magus_default-iter0,0,1195.6100
16S.T,R0,magus_default-iter1,1,3225.2200
16S.T,R0,magus_magus-iter0,0,3744.0400
16S.T,R0,magus_magus-iter1,1,1505.7500
16S.T,R0,magus_magus-iter2,2,1634.9600
16S.T,R0,magus_magus-iter3,3,1592.9200
16S.T,R0,magus_magus-iter4,4,617.9000
16S.T,R0,muscle,-1,21173.6300
16S.T,R0,pasta-iter3,3,4002.9500
RNASim-1000,R0,clustalo,-1,671.4700
RNASim-1000,R0,mafft,-1,14.6900
RNASim-1000,R0,magus_clustalo-iter0,0,21.2700
RNASim-1000,R0,magus_clustalo-iter1,1,859.3500
RNASim-1000,R0,magus_clustalo-iter2,2,811.2200
RNASim-1000,R0,magus_clustalo-iter3,3,924.1200
RNASim-1000,R0,magus_default-iter0,0,1405.8300
RNASim-1000,R0,magus_default-iter1,1,1966.1200
RNASim-1000,R0,magus_magus-iter0,0,2405.3100
RNASim-1000,R0,magus_magus-iter1,1,469.1900
RNASim-1000,R0,magus_magus-iter2,2,449.3500
RNASim-1000,R0,magus_magus-iter3,3,471.0100
RNASim-1000,R0,magus_magus-iter4,4,364.0900
RNASim-1000,R0,muscle,-1,4091.2000
RNASim-1000,R0,pasta-iter3,3,2699.2700
RNASim-1000,R1,clustalo,-1,516.2400
RNASim-1000,R1,mafft,-1,14.5800
RNASim-1000,R1,magus_clustalo-iter0,0,22.1100
RNASim-1000,R1,magus_clustalo-iter1,1,864.9100
RNASim-1000,R1,magus_clustalo-iter2,2,845.1100
